지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2021-06-16,24.3,20.3,347,28.9,1622,,,,,,,11.5,50,955,5.7,50,1118,3.6,3120,50
108,서울,2021-06-17,21.9,19.6,439,25,1247,4.25,0,,0,,0,7.1,110,57,3.6,50,12,2.4,2072,50
108,서울,2021-06-18,20,19,601,21.4,1711,12,.5,620,1.7,553,6.3,7.2,200,500,3.8,200,1520,2.5,2166,200
108,서울,2021-06-19,22.3,17.5,550,27.4,1553,,,,,,,6.9,160,1200,3.7,270,1600,1.8,1518,270
108,서울,2021-06-20,22.9,17.6,520,29,1319,,,,,,,12.7,270,1408,6.8,230,1354,2.8,2428,230
108,서울,2021-06-21,23.6,19.2,511,28.5,1457,,,,,,,7.8,250,1555,4.6,270,1759,2.2,1943,270
108,서울,2021-06-22,22.8,19.7,538,28.6,1347,2.08,0,,0,,0,15,180,1416,7.8,200,1423,2.1,1857,50
108,서울,2021-06-23,22.4,18.8,528,27.9,1504,.67,5,1538,7.5,1530,7.5,11.3,360,1541,6,50,1544,2.4,2048,50
108,서울,2021-06-24,23,18.5,443,28,1540,,,,,,,7.7,250,1638,4.4,270,1641,1.9,1671,50
108,서울,2021-06-25,24.1,19.5,551,29.5,1619,,,,,,,7.8,290,1825,4.7,290,1830,2,1720,270
108,서울,2021-06-26,22.8,19.9,557,26.7,1549,11.42,.7,342,2.6,339,4.5,5.9,20,1739,3.4,360,1632,1.8,1547,50
108,서울,2021-06-27,24.5,19.8,447,30.8,1511,3.42,11.7,1832,37.7,1824,38.2,14.3,180,1837,7.8,200,1841,2,1763,50
108,서울,2021-06-28,23.7,21,629,29.2,1447,1.67,.1,,.1,,.1,7.7,50,1457,4.1,50,1504,1.9,1661,50
108,서울,2021-06-29,23.9,21.3,442,28.4,1531,1.67,3.8,1631,8,1614,8,6.5,200,1154,4.1,200,1155,1.8,1517,50
108,서울,2021-06-30,24.3,21,405,28.8,1654,1.35,3.4,1209,6,1159,6,7.7,20,1154,3.6,50,1156,1.3,1134,20
108,서울,2021-07-01,26.3,21.4,519,31,1525,,,,,,,6.8,360,1822,4.1,320,1645,1.8,1519,50
108,서울,2021-07-02,27.1,23.6,538,31.8,1612,,,,,,,6.7,20,1519,3.5,50,1525,2.3,1984,50
108,서울,2021-07-03,22.6,19.6,2208,25.7,1,9.42,4,1736,13.8,1656,60,12.9,50,1815,5.9,50,1945,3.6,3097,50
108,서울,2021-07-04,21.4,19.8,1,23.1,1500,18.33,1.2,56,5.3,45,21.4,8.8,180,2214,4.9,200,1709,2.3,1988,70
108,서울,2021-07-05,23.3,20.1,328,26.9,1444,,,,,,,5.9,230,23,3.5,200,31,1.4,1182,290
108,서울,2021-07-06,25.3,21,450,30.1,1437,,,,,,,5.5,250,1437,3.7,250,1458,1.6,1415,50
108,서울,2021-07-07,26.4,23.9,419,29.1,1441,4.67,8.5,2057,12.4,2025,12.7,5.4,160,1528,3.3,140,957,1.5,1338,290
108,서울,2021-07-08,26,23.8,520,29.8,1451,2,1,27,2.7,2,2.9,7.5,270,1744,4.7,250,1831,2,1697,270
108,서울,2021-07-09,25.5,23.6,335,29.2,1530,.25,0,,0,,0,7.1,250,1635,4.2,230,1826,1.9,1649,270
108,서울,2021-07-10,25.9,23.1,631,29.2,1340,2.8,.2,,.2,,.5,9.9,270,1418,5.4,230,1442,2.4,2060,200
108,서울,2021-07-11,25.7,24.1,700,27.5,1552,5.17,.3,640,.4,612,.4,8.2,230,1234,4.8,230,1242,2.2,1916,200
108,서울,2021-07-12,28.1,23.8,557,32.5,1604,,,,,,,5.4,160,1704,3.1,160,1906,1.6,1366,50
108,서울,2021-07-13,28.8,26.3,429,31.5,1431,,,,,,,5.9,160,1003,3.7,290,1641,1.7,1432,50
108,서울,2021-07-14,29.7,26.1,447,33.5,1508,,,,,,,7.6,200,1231,4.2,160,1055,2.2,1905,200
